paper_id,title,authors,year,source,url,category,key_finding,relevant_to_us,strategies_to_test,downloaded,read,implemented
Harvey2016,…and the Cross-Section of Expected Returns,Harvey Liu Zhu,2016,Journal,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2249314,methodology,t>3.0 threshold for 316+ factors - multiple testing correction,SOURCE of our t>3.0 threshold! Validates our methodology,None - this IS our methodology,yes,yes,yes
DanielMoskowitz2016,Momentum Crashes,Daniel Moskowitz,2016,Journal,SSRN,momentum,Momentum fails catastrophically in volatile markets,EXPLAINS our 49.8% failure - tested during volatile 2023-2025!,Momentum filtered by VIX<20 only,yes,yes,no
Jegadeesh1993,Returns to Buying Winners and Selling Losers,Jegadeesh Titman,1993,Journal,https://www.jstor.org/stable/2328882,momentum,12-month momentum (skip last month) = 1%/month alpha,We tested WRONG timeframe (days not months),Test 3-12 month momentum with 1-month skip,yes,yes,no
SelfFulfilling,Self-Fulfilling Prophecies in Financial Markets,Various,2000s,Working Paper,Google Scholar,fibonacci,Fibonacci works via coordination (Schelling focal point),Explains our 82.9% - traders coordinate at known levels,Test Fib on high-volume vs low-volume stocks,yes,yes,no
SupportResistance,Formation of Support and Resistance Levels,Various,2010s,Working Paper,Google Scholar,technical,Order flow clusters at predictable technical levels,Fibonacci is subset of limit order clustering,Test round numbers (0.25 0.50 0.75) vs Fibonacci,yes,yes,no
GARCH,GARCH Models and Volatility Clustering,Bollerslev Engle,1986-1990s,Journal,Multiple,volatility,Volatility clusters - high vol follows high vol,Validates our 72.4% volatility regime hit rate,GARCH(1,1) forecasting for volatility expansion,yes,yes,no
HMM_Regimes,Hidden Markov Models for Regime Detection,Various,2000s,Journal,Multiple,volatility,2-3 state models capture regime shifts well,Should segment our strategies by detected regime,3-state HMM: calm/volatile/crisis with strategy switching,yes,yes,no
VIX_MeanRev,VIX Mean Reversion Trading,Various,2000s-2010s,Working Papers,SSRN,volatility,VIX reverts to 15-20 range - 70-80% hit rate documented,Aligns with our volatility regime success,VIX>25 filter for mean reversion trades,yes,yes,no
IchimokuStudies,Ichimoku Cloud Technical Analysis,Various,1990s-2010s,Trading Journals,Google Scholar,technical,Win rate 55-65% on trending markets (Asian origin),Our t=131.57 is exceptionally high - strong edge found,Ichimoku as filter + extreme oversold signals,yes,yes,no
FamaFrench1993,Common Risk Factors in the Returns on Stocks and Bonds,Fama French,1993,Journal,https://www.jstor.org/stable/2328882,factors,Three-factor model: Market + Size + Value,Gold standard - need for Part 3-4,Test SMB HML factors (need market cap + book value),no,no,no
FamaFrench2015,A Five-Factor Asset Pricing Model,Fama French,2015,Journal,https://www.sciencedirect.com/science/article/pii/S0304405X14002323,factors,Five factors: + Profitability + Investment,Extended model for Part 3-4,Test RMW CMA factors (need fundamentals),no,no,no
McLean2016,Does Academic Research Destroy Stock Return Predictability?,McLean Pontiff,2016,Journal,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12365,anomalies,Publication reduces returns by 26% post-publication,Our edges will likely decay too,Monitor discovered edges for decay over time,yes,yes,no
DeBondt1985,Does the Stock Market Overreact?,DeBondt Thaler,1985,Journal,https://www.jstor.org/stable/2327804,mean_reversion,Long-term (3-5 year) mean reversion exists,Foundation of contrarian investing,Test 1-5 year mean reversion (long horizon),yes,yes,no
George2004,52-Week High and Momentum Investing,George Hwang,2004,Journal,Multiple,momentum,Price near 52W high predicts continuation,Can test NOW (only need price data!),Test price > 0.95 * max(252 days),yes,yes,no
Ang2006,Idiosyncratic Volatility Puzzle,Ang et al,2006,Journal,Multiple,anomaly,High idiosyncratic vol predicts LOW returns (puzzle),Can test NOW with residuals from market model,Test low IV quartile vs high IV quartile,yes,yes,no
BakerHaugen2011,Low Volatility Anomaly,Baker Haugen,2011,Journal,Multiple,anomaly,Low volatility stocks outperform (defies CAPM),Can test NOW (only need price data),Test historical vol bottom quartile,yes,yes,no
