Ticker,Strategy,Action,Price,Suggested_Units,Position_Value,Confidence,Rationale,Track
DFIP,RSI_Oversold_VolSpike,BUY,$41.62,168,$7000,MEDIUM,RSI oversold with volume spike (accumulation),SYSTEMATIC
DFGP,RSI_Oversold_VolSpike,BUY,$54.10,129,$7000,MEDIUM,RSI oversold with volume spike (accumulation),SYSTEMATIC
EXAS,LowVol_After2Down,BUY,$101.38,69,$7000,HIGH,Low volatility stocks after 2 consecutive down days,SYSTEMATIC
WIW,RSI_Oversold_VolSpike,BUY,$8.61,813,$7000,MEDIUM,RSI oversold with volume spike (accumulation),SYSTEMATIC
PCF,RSI_Oversold_VolSpike,BUY,$5.98,1170,$7000,MEDIUM,RSI oversold with volume spike (accumulation),SYSTEMATIC
ASTS,DISCRETIONARY,ANALYZE,$65.93,-,-,HIGH,Regime: ALIGNED,DISCRETIONARY
MU,DISCRETIONARY,ANALYZE,$248.55,-,-,HIGH,Regime: ALIGNED,DISCRETIONARY
PALI,DISCRETIONARY,ANALYZE,$1.67,-,-,MEDIUM,Regime: CONTRARIAN,DISCRETIONARY
SAVA,DISCRETIONARY,ANALYZE,$2.85,-,-,BEARISH,Regime: CONTRARIAN,DISCRETIONARY
LUNR,DISCRETIONARY,ANALYZE,$10.85,-,-,MEDIUM,Regime: ALIGNED,DISCRETIONARY
HUT,DISCRETIONARY,ANALYZE,$38.59,-,-,HIGH,Regime: ALIGNED,DISCRETIONARY
ANNX,DISCRETIONARY,ANALYZE,$4.82,-,-,HIGH,Regime: ALIGNED,DISCRETIONARY
