ticker,name,sector,thesis,catalysts,risk,institutional
KDK,Kodiak Gas Services,autonomous_ai_hardware,"Natural gas compression infrastructure, NOT robotics (different Kodiak)","Energy demand from AI data centers, nat gas shortage","Commodity price exposure, NOT actual AI play","Blackstone backed, 70% institutional ownership"
SYM,Symbotic,autonomous_ai_hardware,"Warehouse automation (Walmart partnership), robotics + AI software","Q4 2024 earnings (Dec), new customer wins, Walmart expansion","Customer concentration (Walmart 80%+), deployment delays","SoftBank Vision Fund, Walmart stake"
SERV,Serve Robotics,autonomous_ai_hardware,"Last-mile delivery robots, Nvidia backing (20% stake)","Expansion to new cities Q1 2025, Uber Eats partnership scale","Regulatory hurdles, small revenue base ($5M TTM)","Nvidia 20%, Uber strategic investor"
AMBA,Ambarella,autonomous_ai_hardware,"Edge AI vision chips for automotive/security, pivot from GoPro","CV3-AI chip adoption in ADAS, security camera wins","Cyclical semi demand, China exposure","Wellington, Vanguard, BlackRock"
IONQ,IonQ,autonomous_ai_hardware,"Trapped-ion quantum computing, Amazon/Azure partnerships","Q4 bookings update, new enterprise contracts, DARPA awards","Pre-revenue quantum, 5-10 year commercialization","Fidelity, Blackrock, ARK Innovation (ARKQ)"
RGTI,Rigetti Computing,autonomous_ai_hardware,"Superconducting quantum + hybrid cloud, AWS partnership","Ankaa-2 84-qubit launch Q4 2024, UK government contracts","Dilution risk (SPAC), negative margins","ARK Next Gen (ARKW), Palantir early investor overlap"
QUBT,Quantum Computing Inc,autonomous_ai_hardware,"Affordable quantum (Dirac-3), entropy computing, NASA contracts","Dirac-3 commercial availability Q1 2025, Los Alamos partnership","Penny stock volatility, limited financials","Retail heavy, limited institutional"
SOUN,SoundHound AI,autonomous_ai_hardware,"Voice AI for automotive/restaurants, strategic Nvidia partnership","Q4 bookings (automotive ramp), restaurant AI adoption","Competition (Google Assistant, Alexa), customer concentration","Nvidia, ARK Next Gen (ARKW), Tencent early investor"
BBAI,BigBear.ai,autonomous_ai_hardware,AI decision intelligence for defense/intel agencies,"Defense budget FY25, classified contract wins","Government customer concentration, security clearance delays","AE Industrial Partners (sponsor), defense-focused funds"
REKR,Rekor Systems,autonomous_ai_hardware,"AI roadway intelligence (license plate recognition), government contracts","Infrastructure bill spending, state DOT contracts","Privacy concerns, limited competitive moat","ARK Next Gen (ARKW), retail heavy"
